title,make,model,year,condition,transmission,location,price,url
Toyota Probox 1.5 DX 2WD 2012 Silver,Toyota,Probox,2012,foreign used,automatic,"Kampala, Nakawa",34700000,https://jiji.ug/nakawa/cars/toyota-probox-1-5-dx-2wd-2012-silver-mqTbhS4smNUymQy1mRSxg1Yg.html?page=11&pos=3&cur_pos=3&ads_per_page=24&ads_count=7246&lid=m3-LgiruerM27Dkm&indexPosition=2
Subaru Legacy 2010 Black,Subaru,Legacy,2010,foreign used,automatic,"Kampala, Nakawa",30000000,https://jiji.ug/nakawa/cars/subaru-legacy-2010-black-kWtTECEgTfs6mgvY9LHSziIF.html?page=11&pos=6&cur_pos=6&ads_per_page=24&ads_count=7246&lid=m3-LgiruerM27Dkm&indexPosition=5
Toyota Wish 2011 White,Toyota,Wish,2011,foreign used,automatic,"Kampala, Nakawa",38000000,https://jiji.ug/nakawa/cars/toyota-wish-2011-white-iKREjzFMwqkDrtF34Qn494vM.html?page=11&pos=9&cur_pos=9&ads_per_page=24&ads_count=7246&lid=m3-LgiruerM27Dkm&indexPosition=8
Toyota Celica 2002 Gray,Toyota,Celica,2002,local used,automatic,"Kampala, Central Division",4500000,https://jiji.ug/central-division/cars/toyota-celica-2002-gray-cSTGlApTa6YhA44YrXPSTrys.html?page=11&pos=12&cur_pos=12&ads_per_page=24&ads_count=7246&lid=m3-LgiruerM27Dkm&indexPosition=11
Toyota Ractis 1.5 FWD 2009 Black,Toyota,Ractis,2009,local used,automatic,"Kampala, Central Division",22000000,https://jiji.ug/central-division/cars/toyota-ractis-1-5-fwd-2009-black-9W0l8y6xZWhzaFxLVVpH1xAs.html?page=11&pos=15&cur_pos=15&ads_per_page=24&ads_count=7246&lid=m3-LgiruerM27Dkm&indexPosition=14
Toyota Noah 2.0 143hp FWD (8 Seater) 2012 White,Toyota,Noah,2012,foreign used,,"Kampala, Nakawa",45000000,https://jiji.ug/nakawa/cars/toyota-noah-2-0-143hp-fwd-8-seater-2012-white-hAimgcETmEWPVUhvRHzIDpqZ.html?page=11&pos=18&cur_pos=18&ads_per_page=24&ads_count=7246&lid=m3-LgiruerM27Dkm&indexPosition=17
Toyota RAV4 2.0 4x4 2007 Silver,Toyota,RAV4,2007,local used,automatic,"Kampala, Central Division",28000000,https://jiji.ug/central-division/cars/toyota-rav4-2-0-4x4-2007-silver-q8qrUHLf6o9J7OorkpBVQnxI.html?page=11&pos=21&cur_pos=21&ads_per_page=24&ads_count=7246&lid=m3-LgiruerM27Dkm&indexPosition=20
Toyota Passo 1.0 AWD 2006 Silver,Toyota,Passo,2006,local used,automatic,"Kampala, Central Division",13000000,https://jiji.ug/central-division/cars/toyota-passo-1-0-awd-2006-silver-yrn4l3TXg1NzG7VtkULCf1LR.html?page=11&pos=24&cur_pos=24&ads_per_page=24&ads_count=7246&lid=m3-LgiruerM27Dkm&indexPosition=23
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2012 Black,Mercedes-Benz,M,2012,local used,automatic,"Kampala, Central Division",130000000,https://jiji.ug/central-division/cars/mercedes-benz-m-class-ml-350-bluetec-4matic-2012-black-6vkuMt2cWI3dqOJ5X5YHWr81.html?page=12&pos=1&cur_pos=1&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=0
Nissan Murano 2010 White,Nissan,Murano,2010,local used,automatic,"Kampala, Rubaga",18000000,https://jiji.ug/rubaga/cars/nissan-murano-2010-white-pBbG682W7ia1xTag8q84E2Bd.html?page=12&pos=4&cur_pos=4&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=3
Toyota Passo 1.0 FWD 2012 Maroon,Toyota,Passo,2012,local used,automatic,"Kampala, Central Division",24000000,https://jiji.ug/central-division/cars/toyota-passo-1-0-fwd-2012-maroon-l3qxnyDRnubeQmoHGm4ixOyh.html?page=12&pos=7&cur_pos=7&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=6
Mazda CX-5 2017 Gray,Mazda,CX-5,2017,foreign used,automatic,"Kampala, Nakawa",68000000,https://jiji.ug/nakawa/cars/mazda-cx-5-2017-gray-xnV8cRQhcs8vbqZwqdH9CKOa.html?page=12&pos=10&cur_pos=10&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=9
Toyota Raum 2004 Silver,Toyota,Raum,2004,local used,automatic,"Kampala, Central Division",5300000,https://jiji.ug/central-division/cars/toyota-raum-2004-silver-nmmcWQjxBi8683BIXv7rcNLZ.html?page=12&pos=13&cur_pos=13&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=12
Toyota Corolla Rumion Hatchback 1.8 FWD 2008 Burgundy,Toyota,Corolla,2008,local used,automatic,"Kampala, Central Division",26000000,https://jiji.ug/central-division/cars/toyota-corolla-rumion-hatchback-1-8-fwd-2008-burgundy-5cgOlXhQy7LDsSjGDfqqOJuW.html?page=12&pos=16&cur_pos=16&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=15
Toyota Land Cruiser Prado 2.8 D-4D 2016 White,Toyota,Land,2016,foreign used,automatic,"Kampala, Nakawa",170000000,https://jiji.ug/nakawa/cars/toyota-land-cruiser-prado-2-8-d-4d-2016-white-frKJT29ZUxp9xLrZA5JYLV0E.html?page=12&pos=19&cur_pos=19&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=18
Toyota Alphard 2.4 Petrol AWD 2011 White,Toyota,Alphard,2011,foreign used,automatic,"Kampala, Nakawa",40000000,https://jiji.ug/nakawa/cars/toyota-alphard-2-4-petrol-awd-2011-white-8XBWoyiE3nlxz3m2vzqKIybc.html?page=12&pos=22&cur_pos=22&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=21
Toyota Harrier 2.4 2010 White,Toyota,Harrier,2010,foreign used,automatic,"Kampala, Nakawa",53700000,https://jiji.ug/nakawa/cars/toyota-harrier-2-4-2010-white-mzZvO2PljJ1ZlGhETA0aPk9V.html?page=12&pos=2&cur_pos=2&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=1
Toyota Raum 1.5 FWD 2008 White,Toyota,Raum,2008,local used,automatic,"Kampala, Central Division",16000000,https://jiji.ug/central-division/cars/toyota-raum-1-5-fwd-2008-white-q447EOQnduzfx3Erx0vTze4n.html?page=12&pos=5&cur_pos=5&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=4
Subaru Forester 2016 Black,Subaru,Forester,2016,foreign used,automatic,"Kampala, Nakawa",65000000,https://jiji.ug/nakawa/cars/subaru-forester-2016-black-nIsAFGwqADvcSkRLHTk2Ec7P.html?page=12&pos=8&cur_pos=8&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=7
Nissan March 1999 Black,Nissan,March,1999,local used,automatic,"Kampala, Central Division",3000000,https://jiji.ug/central-division/cars/nissan-march-1999-black-wC8uGAdfgMfjKb1USLTjhSeC.html?page=12&pos=11&cur_pos=11&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=10
Toyota Corolla Spacio 1.5 X G-edition 2003 Silver,Toyota,Corolla,2003,local used,automatic,"Kampala, Central Division",19500000,https://jiji.ug/central-division/cars/toyota-corolla-spacio-1-5-x-g-edition-2003-silver-9Tq43xZjZDQ0qyIF4UaotkiP.html?page=12&pos=14&cur_pos=14&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=13
Mazda CX-5 2.2 Diesel FWD 2017 Gray,Mazda,CX-5,2017,foreign used,automatic,"Kampala, Nakawa",82000000,https://jiji.ug/nakawa/cars/mazda-cx-5-2-2-diesel-fwd-2017-gray-1hfPpeSN0lSE94Pos3Kj8gY.html?page=12&pos=17&cur_pos=17&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=16
Subaru Exiga 2010 White,Subaru,Exiga,2010,foreign used,automatic,"Kampala, Nakawa",26000000,https://jiji.ug/nakawa/cars/subaru-exiga-2010-white-18bt2gGja06ciufCTFX9inr9.html?page=12&pos=20&cur_pos=20&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=19
Toyota RAV4 Automatic 2003 White,Toyota,RAV4,2003,local used,automatic,"Kampala, Central Division",18000000,https://jiji.ug/central-division/cars/toyota-rav4-automatic-2003-white-fLAgzudoXjVNht0m32e3pusm.html?page=12&pos=23&cur_pos=23&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=22
Toyota Corolla Fielder 2014 White,Toyota,Corolla,2014,foreign used,automatic,"Kampala, Nakawa",41500000,https://jiji.ug/nakawa/cars/toyota-corolla-fielder-2014-white-aKyaLYvkPSAB22jy1Y47l0qP.html?page=12&pos=3&cur_pos=3&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=2
Toyota Passo Sette 1.5 AWD 2011 Black,Toyota,Passo,2011,foreign used,automatic,"Kampala, Nakawa",30000000,https://jiji.ug/nakawa/cars/toyota-passo-sette-1-5-awd-2011-black-151iHRP6luxtkxHQWZnWglSm.html?page=12&pos=6&cur_pos=6&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=5
Toyota Corolla Fielder 1.5 Petrol FWD 2014 Silver,Toyota,Corolla,2014,foreign used,automatic,"Kampala, Nakawa",40000000,https://jiji.ug/nakawa/cars/toyota-corolla-fielder-1-5-petrol-fwd-2014-silver-7rhhvOCzdIh7Cra6tXOFtibx.html?page=12&pos=9&cur_pos=9&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=8
Toyota Noah 2004 White,Toyota,Noah,2004,local used,automatic,"Kampala, Central Division",11500000,https://jiji.ug/central-division/cars/toyota-noah-2004-white-hn1ewuL4fsbNuJ59BKkYF9oI.html?page=12&pos=12&cur_pos=12&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=11
Toyota Mark X 2.5 RWD 2007 Silver,Toyota,Mark,2007,local used,automatic,"Kampala, Central Division",22500000,https://jiji.ug/central-division/cars/toyota-mark-x-2-5-rwd-2007-silver-1mPj0Xq0brnn7SNBjRgufngw.html?page=12&pos=15&cur_pos=15&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=14
Toyota Harrier 2.0 2017 White,Toyota,Harrier,2017,foreign used,automatic,"Kampala, Nakawa",105000000,https://jiji.ug/nakawa/cars/toyota-harrier-2-0-2017-white-rC7wC0TWMaJOU0RrtKqYsnUZ.html?page=12&pos=18&cur_pos=18&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=17
Toyota Avensis 2.0 Sedan Automatic 2003 Silver,Toyota,Avensis,2003,local used,automatic,"Kampala, Central Division",17000000,https://jiji.ug/central-division/cars/toyota-avensis-2-0-sedan-automatic-2003-silver-9SuVsztdPj4OoQ93IusPbqq.html?page=12&pos=21&cur_pos=21&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=20
Toyota Passo 1.0 AWD 2012 Black,Toyota,Passo,2012,local used,automatic,"Kampala, Central Division",24000000,https://jiji.ug/central-division/cars/toyota-passo-1-0-awd-2012-black-llvl72rFxOsiNxHLptxEX1mi.html?page=12&pos=24&cur_pos=24&ads_per_page=24&ads_count=7246&lid=SpfOD1515r-9PmqD&indexPosition=23
