title,make,model,year,condition,transmission,location,price,url
Toyota Land Cruiser 76 Series 2014 White,Toyota,Land,2014,local used,manual,"Nothern Region, Arua",150000000,https://jiji.ug/arua/cars/toyota-land-cruiser-76-series-2014-white-rXlLt13rX9tLdgYNKaipUxsf.html?page=2&pos=7&cur_pos=7&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=6
Subaru Impreza 2.0i Premium AWD 2016 White,Subaru,Impreza,2016,foreign used,manual,"Kampala, Nakawa",195000000,https://jiji.ug/nakawa/cars/subaru-impreza-2-0i-premium-awd-2016-white-wPrrDpmCYmslh1EsFM8pk0Wq.html?page=2&pos=10&cur_pos=10&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=9
Toyota Harrier 2.4 2010 Black,Toyota,Harrier,2010,foreign used,automatic,"Kampala, Rubaga",53000000,https://jiji.ug/rubaga/cars/toyota-harrier-2-4-2010-black-BQbbbR5kZVJSg3GpN32idL6b.html?page=2&pos=13&cur_pos=13&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=12
Toyota Noah 2.0 143hp AWD (8 Seater) 2011 Silver,Toyota,Noah,2011,foreign used,automatic,"Kampala, Central Division",41000000,https://jiji.ug/central-division/cars/toyota-noah-2-0-143hp-awd-8-seater-2011-silver-BjEcFpj1SDxeQYFjDOsYoQti.html?page=2&pos=16&cur_pos=16&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=15
Subaru Forester Premium AWD 2020 Silver,Subaru,Forester,2020,foreign used,automatic,"Kampala, Nakawa",98000000,https://jiji.ug/nakawa/cars/subaru-forester-premium-awd-2020-silver-v3NOqpmootIPLHJDVUHn3ksd.html?page=2&pos=19&cur_pos=19&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=18
Mitsubishi Pajero IO 2004 White,Mitsubishi,Pajero,2004,local used,automatic,"Kampala, Central Division",14000000,https://jiji.ug/central-division/cars/mitsubishi-pajero-io-2004-white-2HqiqCPMr7M9NBldTVUJxpM4.html?page=2&pos=22&cur_pos=22&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=21
Toyota Vitz 1.0 FWD 3dr 2011 Silver,Toyota,Vitz,2011,local used,automatic,"Kampala, Central Division",23000000,https://jiji.ug/central-division/cars/toyota-vitz-1-0-fwd-3dr-2011-silver-8HNHEseREa1HDjJ4U3ZFxNmy.html?page=2&pos=2&cur_pos=2&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=1
Toyota Sienta 2005 White,Toyota,Sienta,2005,local used,automatic,"Kampala, Central Division",23000000,https://jiji.ug/central-division/cars/toyota-sienta-2005-white-vWXwsjOP12mfvWvsmfMcOT5n.html?page=2&pos=5&cur_pos=5&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=4
Volvo XC90 2.5 T 2006 Brown,Volvo,XC90,2006,local used,automatic,"Kampala, Nakawa",45000000,https://jiji.ug/nakawa/cars/volvo-xc90-2-5-t-2006-brown-BGmZ1VNLke72WUim7vuBk4yK.html?page=2&pos=8&cur_pos=8&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=7
Toyota Harrier 2.4 2008 White,Toyota,Harrier,2008,local used,automatic,"Kampala, Rubaga",38000000,https://jiji.ug/rubaga/cars/toyota-harrier-2-4-2008-white-s4DfmYlxkVXq9LDdLjTw4gEz.html?page=2&pos=11&cur_pos=11&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=10
Mercedes-Benz E200 2016 White,Mercedes-Benz,E200,2016,foreign used,automatic,"Kampala, Nakawa",102000000,https://jiji.ug/nakawa/cars/mercedes-benz-e200-2016-white-gkMEZQZB1RvhcYF8ttA0uiNW.html?page=2&pos=14&cur_pos=14&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=13
Nissan Fuga 2015 Black,Nissan,Fuga,2015,local used,automatic,"Kampala, Central Division",42000000,https://jiji.ug/central-division/cars/nissan-fuga-2015-black-8YMwa3adJiTOLjbIAO3UyfiH.html?page=2&pos=17&cur_pos=17&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=16
Toyota Corolla Fielder 1.5 Petrol FWD 2007 Silver,Toyota,Corolla,2007,local used,automatic,"Kampala, Central Division",25500000,https://jiji.ug/central-division/cars/toyota-corolla-fielder-1-5-petrol-fwd-2007-silver-feYMNDGLARFIl53tS6ZauvAh.html?page=2&pos=20&cur_pos=20&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=19
Subaru Outback 2015 Gold,Subaru,Outback,2015,foreign used,,"Kampala, Nakawa",55000000,https://jiji.ug/nakawa/cars/subaru-outback-2015-gold-gjCgce4qCaUbbLobGNA4qb1z.html?page=2&pos=23&cur_pos=23&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=22
Toyota Lite-Ace 2011 Silver,Toyota,Lite-Ace,2011,foreign used,automatic,"Kampala, Nakawa",35000000,https://jiji.ug/nakawa/cars/toyota-lite-ace-2011-silver-oWvhEZ2QD3te1xInOHldHOPp.html?page=2&pos=3&cur_pos=3&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=2
Toyota Vitz 1.0 FWD 5dr 2010 Purple,Toyota,Vitz,2010,local used,automatic,"Kampala, Central Division",20000000,https://jiji.ug/central-division/cars/toyota-vitz-1-0-fwd-5dr-2010-purple-6y8818XAN2SYnp7ncVtqIoYD.html?page=2&pos=6&cur_pos=6&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=5
Toyota Harrier 2.4 2004 Black,Toyota,Harrier,2004,local used,automatic,"Kampala, Central Division",28000000,https://jiji.ug/central-division/cars/toyota-harrier-2-4-2004-black-dSHC2pUYBOTdLJwNNvco0w4k.html?page=2&pos=9&cur_pos=9&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=8
Subaru Impreza WRX STI 2.4 AWD 2012 Blue,Subaru,Impreza,2012,foreign used,automatic,"Kampala, Nakawa",85000000,https://jiji.ug/nakawa/cars/subaru-impreza-wrx-sti-2-4-awd-2012-blue-cPQqWXnOfhuTJsL8geJprUBU.html?page=2&pos=12&cur_pos=12&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=11
Toyota Land Cruiser 79 Series 2017 White,Toyota,Land,2017,local used,manual,"Wakiso, Kira",165000000,https://jiji.ug/kira/cars/toyota-land-cruiser-79-series-2017-white-nu3hV15Go0mzqlCHPwx9PV3I.html?page=2&pos=15&cur_pos=15&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=14
Mitsubishi Pajero IO 2003 Black,Mitsubishi,Pajero,2003,local used,automatic,"Kampala, Central Division",12000000,https://jiji.ug/central-division/cars/mitsubishi-pajero-io-2003-black-mWgCY3sncM1STYjMzRKYilxI.html?page=2&pos=18&cur_pos=18&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=17
Toyota Noah 2.0 143hp FWD (8 Seater) 2012 White,Toyota,Noah,2012,foreign used,,"Kampala, Nakawa",45000000,https://jiji.ug/nakawa/cars/toyota-noah-2-0-143hp-fwd-8-seater-2012-white-hAimgcETmEWPVUhvRHzIDpqZ.html?page=2&pos=21&cur_pos=21&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=20
Toyota Rumion 1.5 FWD 2021 Silver,Toyota,Rumion,2021,local used,automatic,"Kampala, Central Division",29000000,https://jiji.ug/central-division/cars/toyota-rumion-1-5-fwd-2021-silver-idj2xU6tLTeses7wgs65Rjr0.html?page=2&pos=24&cur_pos=24&ads_per_page=24&ads_count=7246&lid=cIXsGr37GV5KnIG2&indexPosition=23
Toyota Premio 1.8 FWD 2008 Silver,Toyota,Premio,2008,local used,automatic,"Kampala, Central Division",29000000,https://jiji.ug/central-division/cars/toyota-premio-1-8-fwd-2008-silver-cUBXFoOhhqy05JyMXnxZpOmV.html?page=3&pos=1&cur_pos=1&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=0
Toyota Noah 2001 White,Toyota,Noah,2001,local used,automatic,"Kampala, Rubaga",9000000,https://jiji.ug/rubaga/cars/toyota-noah-2001-white-cFQtXfeyCy6c8kc2yDLgNv52.html?page=3&pos=4&cur_pos=4&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=3
Subaru Forester 2007 Silver,Subaru,Forester,2007,local used,automatic,"Kampala, Central Division",24000000,https://jiji.ug/central-division/cars/subaru-forester-2007-silver-heK2uHLbMA6oZUK0IDCcPXjs.html?page=3&pos=7&cur_pos=7&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=6
Toyota Corolla Spacio 2002 Blue,Toyota,Corolla,2002,local used,automatic,"Kampala, Central Division",10500000,https://jiji.ug/central-division/cars/toyota-corolla-spacio-2002-blue-sgSs6CpgXiJwxPPlxDOeQu5A.html?page=3&pos=10&cur_pos=10&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=9
Subaru Forester 2.5i Premium AWD 2018 Green,Subaru,Forester,2018,foreign used,automatic,"Kampala, Nakawa",95000000,https://jiji.ug/nakawa/cars/subaru-forester-2-5i-premium-awd-2018-green-ptZ7eRtdqB50O4fAlyAECVtO.html?page=3&pos=13&cur_pos=13&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=12
Toyota Aqua 2016 Black,Toyota,Aqua,2016,foreign used,automatic,"Kampala, Nakawa",42500000,https://jiji.ug/nakawa/cars/toyota-aqua-2016-black-hGVQ6y4669vQDfGoiwmXXPkB.html?page=3&pos=16&cur_pos=16&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=15
Toyota Raum 1.5 AWD 2011 Gray,Toyota,Raum,2011,local used,automatic,"Kampala, Central Division",16000000,https://jiji.ug/central-division/cars/toyota-raum-1-5-awd-2011-gray-iMYFHu5O6P16wRUWWfJfxxCC.html?page=3&pos=19&cur_pos=19&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=18
Toyota Wish 2011 Gray,Toyota,Wish,2011,foreign used,automatic,"Kampala, Nakawa",33000000,https://jiji.ug/nakawa/cars/toyota-wish-2011-gray-filWKZFO38aMRLadS1K00YO4.html?page=3&pos=22&cur_pos=22&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=21
Toyota Altezza 1998 Silver,Toyota,Altezza,1998,local used,automatic,"Kampala, Central Division",14500000,https://jiji.ug/central-division/cars/toyota-altezza-1998-silver-ub71xtkVYMLvqkQ37vJ7CPIB.html?page=3&pos=2&cur_pos=2&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=1
Toyota Land Cruiser 4.7 VX-R 2009 White,Toyota,Land,2009,local used,automatic,"Kampala, Central Division",53000000,https://jiji.ug/central-division/cars/toyota-land-cruiser-4-7-vx-r-2009-white-hKgnaucTc7qBdvRnBv9fhujS.html?page=3&pos=5&cur_pos=5&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=4
Mitsubishi Outlander 2010 Black,Mitsubishi,Outlander,2010,local used,automatic,"Kampala, Central Division",27000000,https://jiji.ug/central-division/cars/mitsubishi-outlander-2010-black-fRf9OXh5VFx09zInbzfR0bDn.html?page=3&pos=8&cur_pos=8&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=7
Mitsubishi Pajero 1999 Black,Mitsubishi,Pajero,1999,local used,automatic,"Kampala, Central Division",19000000,https://jiji.ug/central-division/cars/mitsubishi-pajero-1999-black-fzDut9PYsCpmM59C5gbMRKR9.html?page=3&pos=11&cur_pos=11&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=10
Toyota Corolla Fielder 2015 Black,Toyota,Corolla,2015,foreign used,automatic,"Kampala, Nakawa",39000000,https://jiji.ug/nakawa/cars/toyota-corolla-fielder-2015-black-ft2JlK490tMaXOfnvfwW3nY.html?page=3&pos=14&cur_pos=14&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=13
Subaru Forester 2.0XT Premium AWD 2016 Silver,Subaru,Forester,2016,foreign used,automatic,"Kampala, Nakawa",58400000,https://jiji.ug/nakawa/cars/subaru-forester-2-0xt-premium-awd-2016-silver-jNK6pyp5YX4UHmd66qLwvmPN.html?page=3&pos=17&cur_pos=17&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=16
Toyota Raum 1.5 FWD 2009 White,Toyota,Raum,2009,local used,automatic,"Kampala, Central Division",16000000,https://jiji.ug/central-division/cars/toyota-raum-1-5-fwd-2009-white-llCRLG0I3ekRAKChrWlg5xOZ.html?page=3&pos=20&cur_pos=20&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=19
Subaru Forester 2.5X 2013 White,Subaru,Forester,2013,foreign used,automatic,"Kampala, Nakawa",50000000,https://jiji.ug/nakawa/cars/subaru-forester-2-5x-2013-white-42x5mYAeOnBxsZneKIWnWrAn.html?page=3&pos=23&cur_pos=23&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=22
Toyota Raum 1.5 FWD 2003 White,Toyota,Raum,2003,local used,automatic,"Kampala, Central Division",16500000,https://jiji.ug/central-division/cars/toyota-raum-1-5-fwd-2003-white-2QPPKpLaMEuz9n325g6ox0XD.html?page=3&pos=3&cur_pos=3&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=2
Volkswagen Touareg 2008 White,Volkswagen,Touareg,2008,local used,automatic,"Kampala, Central Division",35000000,https://jiji.ug/central-division/cars/volkswagen-touareg-2008-white-2YQ4cfTKmpoPGfrQEOt0GGxL.html?page=3&pos=6&cur_pos=6&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=5
Toyota Noah 2001 White,Toyota,Noah,2001,local used,automatic,"Kampala, Central Division",11500000,https://jiji.ug/central-division/cars/toyota-noah-2001-white-jOGmrkFgi7Y9UtE3MZGWL0Wf.html?page=3&pos=9&cur_pos=9&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=8
Toyota Noah 2.0 AWD (8 Seater) 2001 Silver,Toyota,Noah,2001,local used,automatic,"Mukono, Goma",20000000,https://jiji.ug/goma/cars/toyota-noah-2-0-awd-8-seater-2001-silver-lgy92MtCxr69kNVSUKahp5hg.html?page=3&pos=12&cur_pos=12&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=11
Mercedes-Benz M Class ML63 AMG 4dr SUV AWD (5.5L 8cyl Turbo 7A) 2014,Mercedes-Benz,M,2014,foreign used,automatic,"Kampala, Nakawa",125000000,https://jiji.ug/nakawa/cars/mercedes-benz-m-class-ml63-amg-4dr-suv-awd-5-5l-8cyl-turbo-7a-2014-cLs7gGmT00GF0lFH8mnkXXIB.html?page=3&pos=15&cur_pos=15&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=14
Volkswagen Touareg 2018 White,Volkswagen,Touareg,2018,foreign used,automatic,"Kampala, Central Division",95000000,https://jiji.ug/central-division/cars/volkswagen-touareg-2018-white-k9lbZR7zghjUKm093p9Nn8nV.html?page=3&pos=18&cur_pos=18&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=17
Toyota Raum 1.5 FWD 2010 Gray,Toyota,Raum,2010,local used,automatic,"Kampala, Central Division",16000000,https://jiji.ug/central-division/cars/toyota-raum-1-5-fwd-2010-gray-wYsrWXCwd64bzEB0E6wMN6RE.html?page=3&pos=21&cur_pos=21&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=20
BMW X6 xDrive30d 2011 Blue,BMW,X6,2011,foreign used,automatic,"Kampala, Nakawa",85000000,https://jiji.ug/nakawa/cars/bmw-x6-xdrive30d-2011-blue-w3qrfxw90ZHSMqYCW2SaUhui.html?page=3&pos=24&cur_pos=24&ads_per_page=24&ads_count=7246&lid=bVdCJAa7OWVCiTvq&indexPosition=23
Toyota Land Cruiser 2023 Black,Toyota,Land,2023,foreign used,automatic,"Kampala, Nakawa",450000000,https://jiji.ug/nakawa/cars/toyota-land-cruiser-2023-black-aDhI8iPOAOj5xTcYMitpISgc.html?page=4&pos=1&cur_pos=1&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=0
Toyota Passo 2004 Gold,Toyota,Passo,2004,local used,automatic,"Kampala, Central Division",13500000,https://jiji.ug/central-division/cars/toyota-passo-2004-gold-hxprWFjdc1PhB2Pw8Mww9x24.html?page=4&pos=4&cur_pos=4&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=3
Toyota Corolla 2002 Green,Toyota,Corolla,2002,local used,automatic,"Kampala, Central Division",3850000,https://jiji.ug/central-division/cars/toyota-corolla-2002-green-zCnp32iaLiGjg6xhHnznXgs1.html?page=4&pos=7&cur_pos=7&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=6
Subaru Forester 2017 White,Subaru,Forester,2017,foreign used,automatic,"Kampala, Nakawa",63000000,https://jiji.ug/nakawa/cars/subaru-forester-2017-white-mkk59zaXU1vGHhrF14T40GkB.html?page=4&pos=10&cur_pos=10&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=9
Toyota Land Cruiser Cygnus 4.7 2004 White,Toyota,Land,2004,local used,automatic,"Kampala, Central Division",55000000,https://jiji.ug/central-division/cars/toyota-land-cruiser-cygnus-4-7-2004-white-mZP3wI3DdGwCxIgrfTL6X944.html?page=4&pos=13&cur_pos=13&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=12
Toyota Corolla Fielder 1.8 Petrol FWD 2010 Silver,Toyota,Corolla,2010,foreign used,automatic,"Kampala, Nakawa",39000000,https://jiji.ug/nakawa/cars/toyota-corolla-fielder-1-8-petrol-fwd-2010-silver-3AQBkRZCCVQnsOSJlXrYKLe.html?page=4&pos=16&cur_pos=16&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=15
Subaru Forester 2.0D X 2009 Black,Subaru,Forester,2009,local used,automatic,"Kampala, Central Division",30000000,https://jiji.ug/central-division/cars/subaru-forester-2-0d-x-2009-black-6cXYmztKSIpypAqgEJyjkB7b.html?page=4&pos=19&cur_pos=19&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=18
Toyota Passo 2011 Beige,Toyota,Passo,2011,foreign used,automatic,"Kampala, Central Division",19500000,https://jiji.ug/central-division/cars/toyota-passo-2011-beige-11xlqbQOPHnesrAtImc6Qq2K.html?page=4&pos=22&cur_pos=22&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=21
Toyota Corolla Fielder 2008 Silver,Toyota,Corolla,2008,local used,automatic,"Kampala, Central Division",21000000,https://jiji.ug/central-division/cars/toyota-corolla-fielder-2008-silver-abpPQEeAerZoQkZmDwY4gxlX.html?page=4&pos=2&cur_pos=2&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=1
Land Rover Range Rover Evoque Pure AWD 5-Door 2013 Gray,Land,Rover,2013,foreign used,automatic,"Kampala, Nakawa",85000000,https://jiji.ug/nakawa/cars/land-rover-range-rover-evoque-pure-awd-5-door-2013-gray-zGaFbW902gOshqttPrFXTWJk.html?page=4&pos=5&cur_pos=5&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=4
Toyota Premio 1.8 FWD 2016 Silver,Toyota,Premio,2016,foreign used,automatic,"Kampala, Nakawa",58000000,https://jiji.ug/nakawa/cars/toyota-premio-1-8-fwd-2016-silver-nhX39FFhPQZrdUyqX9vS3KCh.html?page=4&pos=8&cur_pos=8&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=7
Nissan Dualis 2008 Blue,Nissan,Dualis,2008,local used,automatic,"Kampala, Central Division",19000000,https://jiji.ug/central-division/cars/nissan-dualis-2008-blue-1t6jXrtRSye1oxdHqcmDuTXs.html?page=4&pos=11&cur_pos=11&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=10
Toyota Corolla Fielder 1.5 Hybrid FWD 2016 Silver,Toyota,Corolla,2016,foreign used,automatic,"Kampala, Nakawa",48000000,https://jiji.ug/nakawa/cars/toyota-corolla-fielder-1-5-hybrid-fwd-2016-silver-uJXSX2QLZi7Lgtr1kOd2L6jy.html?page=4&pos=14&cur_pos=14&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=13
Toyota Ractis 1.5 FWD 2007 Silver,Toyota,Ractis,2007,local used,automatic,"Kampala, Central Division",19000000,https://jiji.ug/central-division/cars/toyota-ractis-1-5-fwd-2007-silver-1B4wXp5Ummm7ayQrnEWnaGPg.html?page=4&pos=17&cur_pos=17&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=16
Toyota Land Cruiser 4.7 VX-R 2009 White,Toyota,Land,2009,local used,automatic,"Kampala, Central Division",53000000,https://jiji.ug/central-division/cars/toyota-land-cruiser-4-7-vx-r-2009-white-hKgnaucTc7qBdvRnBv9fhujS.html?page=4&pos=20&cur_pos=20&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=19
Subaru Forester 2007 Silver,Subaru,Forester,2007,local used,automatic,"Kampala, Central Division",24000000,https://jiji.ug/central-division/cars/subaru-forester-2007-silver-heK2uHLbMA6oZUK0IDCcPXjs.html?page=4&pos=23&cur_pos=23&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=22
Toyota Corolla Fielder 2010 Silver,Toyota,Corolla,2010,local used,automatic,"Kampala, Central Division",21500000,https://jiji.ug/central-division/cars/toyota-corolla-fielder-2010-silver-mMAolHJhPqflRAJNvZUv1kUf.html?page=4&pos=3&cur_pos=3&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=2
Toyota Vellfire 2010 White,Toyota,Vellfire,2010,foreign used,automatic,"Kampala, Nakawa",33500000,https://jiji.ug/nakawa/cars/toyota-vellfire-2010-white-bo6M5dFGFiESoAPYHtvCVLfg.html?page=4&pos=6&cur_pos=6&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=5
Subaru Forester 2014 Green,Subaru,Forester,2014,foreign used,automatic,"Kampala, Nakawa",52000000,https://jiji.ug/nakawa/cars/subaru-forester-2014-green-6xupL2RwoE6lu5C8RZ5sDmMB.html?page=4&pos=9&cur_pos=9&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=8
Volkswagen Tiguan 2010 Black,Volkswagen,Tiguan,2010,local used,automatic,"Kampala, Rubaga",28500000,https://jiji.ug/rubaga/cars/volkswagen-tiguan-2010-black-z3IvigyeY83H6jw8NQN5WzC7.html?page=4&pos=12&cur_pos=12&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=11
Toyota Corolla Fielder 1.5 Hybrid FWD 2017 Silver,Toyota,Corolla,2017,foreign used,automatic,"Kampala, Nakawa",48000000,https://jiji.ug/nakawa/cars/toyota-corolla-fielder-1-5-hybrid-fwd-2017-silver-d4BynQnpfGaCoYtniXt14cc1.html?page=4&pos=15&cur_pos=15&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=14
Toyota Sienta 1.5 FWD 2008,Toyota,Sienta,2008,local used,automatic,"Kampala, Central Division",23000000,https://jiji.ug/central-division/cars/toyota-sienta-1-5-fwd-2008-djW0Pxevl6bvgAWERJ31It8a.html?page=4&pos=18&cur_pos=18&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=17
Toyota Land Cruiser Prado 2006 Silver,Toyota,Land,2006,local used,automatic,"Kampala, Central Division",44000000,https://jiji.ug/central-division/cars/toyota-land-cruiser-prado-2006-silver-hKiR7zdEvGDNDnGq6Vy7D00B.html?page=4&pos=21&cur_pos=21&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=20
Mitsubishi Outlander 2010 Black,Mitsubishi,Outlander,2010,local used,automatic,"Kampala, Central Division",27000000,https://jiji.ug/central-division/cars/mitsubishi-outlander-2010-black-fRf9OXh5VFx09zInbzfR0bDn.html?page=4&pos=24&cur_pos=24&ads_per_page=24&ads_count=7246&lid=y7A35QEtHvOBBaWT&indexPosition=23
Subaru Forester 2007 White,Subaru,Forester,2007,local used,automatic,"Kampala, Central Division",24000000,https://jiji.ug/central-division/cars/subaru-forester-2007-white-fsXtqegDchFWD5WQasnp2Fj2.html?page=5&pos=1&cur_pos=1&ads_per_page=24&ads_count=7246&lid=oSlPxW5ni2iRdb3-&indexPosition=0
Ford Escape XLT Popular 2 4x4 2003 Off white,Ford,Escape,2003,local used,automatic,"Kampala, Central Division",11700000,https://jiji.ug/central-division/cars/ford-escape-xlt-popular-2-4x4-2003-off-white-ps7VuKIeTFMjWY05JX9Q2DUF.html?page=5&pos=4&cur_pos=4&ads_per_page=24&ads_count=7246&lid=oSlPxW5ni2iRdb3-&indexPosition=3
Mercedes-Benz E350 2009 Black,Mercedes-Benz,E350,2009,foreign used,automatic,"Kampala, Nakawa",45000000,https://jiji.ug/nakawa/cars/mercedes-benz-e350-2009-black-rQRahKWi9Pgv84eZHvEc4Kn6.html?page=5&pos=7&cur_pos=7&ads_per_page=24&ads_count=7246&lid=oSlPxW5ni2iRdb3-&indexPosition=6
Toyota Wish 2010 Silver,Toyota,Wish,2010,local used,automatic,"Kampala, Central Division",25000000,https://jiji.ug/central-division/cars/toyota-wish-2010-silver-C0ItriAo2nFyH9KwxxtsVMxF.html?page=5&pos=10&cur_pos=10&ads_per_page=24&ads_count=7246&lid=oSlPxW5ni2iRdb3-&indexPosition=9
Toyota Corolla 1.9 D Sedan 2000 White,Toyota,Corolla,2000,local used,automatic,"Kampala, Central Division",12000000,https://jiji.ug/central-division/cars/toyota-corolla-1-9-d-sedan-2000-white-vW5t5qeEllWmlTWuFETMKfs1.html?page=5&pos=13&cur_pos=13&ads_per_page=24&ads_count=7246&lid=oSlPxW5ni2iRdb3-&indexPosition=12
Toyota Wish 2011 White,Toyota,Wish,2011,foreign used,automatic,"Kampala, Nakawa",38000000,https://jiji.ug/nakawa/cars/toyota-wish-2011-white-iKREjzFMwqkDrtF34Qn494vM.html?page=5&pos=16&cur_pos=16&ads_per_page=24&ads_count=7246&lid=oSlPxW5ni2iRdb3-&indexPosition=15
Toyota Cami 2004 Silver,Toyota,Cami,2004,local used,automatic,"Kampala, Central Division",8500000,https://jiji.ug/central-division/cars/toyota-cami-2004-silver-w1VbctVqzI13DxtNrpXVvNHy.html?page=5&pos=19&cur_pos=19&ads_per_page=24&ads_count=7246&lid=oSlPxW5ni2iRdb3-&indexPosition=18
