ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
CB205367,2022 MAZDA ROADSTER,MAZDA,ROADSTER,2022/4,"65,922 km","2,000cc",MT,Petrol,2,Location,,,,,/mazda/roadster/cb205367/id/13262781/
CB205368,2011 AUDI TT,AUDI,TT,2011/10,"76,000 km","2,000cc",AT,Petrol,4,Location,,,,,/audi/tt/cb205368/id/13262782/
CB205369,2003 TOYOTA CROWN,TOYOTA,CROWN,2003/1,"68,000 km","3,000cc",AT,Petrol,5,Location,,,,,/toyota/crown/cb205369/id/13262783/
CB205370,2013 SUZUKI SPACIA,SUZUKI,SPACIA,2013/8,"53,000 km",660cc,CVT,Petrol,4,Location,,,,,/suzuki/spacia/cb205370/id/13262784/
CB205371,2017 SUBARU IMPREZA WRX STI,SUBARU,IMPREZA,2017/12,"57,511 km","2,000cc",MT,Petrol,5,Location,,,,,/subaru/impreza-wrx-sti/cb205371/id/13262785/
CB205372,2017 TOYOTA HARRIER,TOYOTA,HARRIER,2017/6,"83,801 km","2,000cc",CVT,Petrol,5,Location,,,,,/toyota/harrier/cb205372/id/13262786/
CB205373,2018 LEXUS RX,LEXUS,RX,2018/10,"82,687 km","3,500cc",CVT,Hybrid(Petrol),7,Location,,,,,/lexus/rx/cb205373/id/13262787/
CB205374,2015 TOYOTA PRIUS,TOYOTA,PRIUS,2015/6,"71,013 km","1,800cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/prius/cb205374/id/13262788/
CB205375,2017 SUZUKI HUSTLER,SUZUKI,HUSTLER,2017/2,"76,977 km",660cc,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/hustler/cb205375/id/13262789/
CB205376,2014 SUZUKI HUSTLER,SUZUKI,HUSTLER,2014/3,"87,727 km",660cc,MT,Petrol,4,Location,,,,,/suzuki/hustler/cb205376/id/13262790/
CB205377,2007 SUZUKI WAGON R,SUZUKI,WAGON,2007/12,"41,656 km",660cc,MT,Petrol,4,Location,,,,,/suzuki/wagon-r/cb205377/id/13262791/
CB205378,2006 SUBARU STELLA,SUBARU,STELLA,2006/9,"56,958 km",660cc,CVT,Petrol,4,Location,,,,,/subaru/stella/cb205378/id/13262792/
CB205379,2012 TOYOTA PRIUS,TOYOTA,PRIUS,2012/11,"33,486 km","1,800cc",CVT,Hybrid(Petrol),5,Location,,,,,/toyota/prius/cb205379/id/13262793/
CB205380,2010 DAIHATSU COPEN,DAIHATSU,COPEN,2010/5,"234,542 km",660cc,AT,Petrol,2,Location,,,,,/daihatsu/copen/cb205380/id/13262794/
CB205381,2017 DAIHATSU HIJET CARGO,DAIHATSU,HIJET,2017/3,"58,031 km",660cc,AT,Petrol,4,Location,,,,,/daihatsu/hijet-cargo/cb205381/id/13262795/
