ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url,source
CB204690,2018 TOYOTA PIXIS VAN,Toyota,Pixis,2018,94300.0,660.0,MT,Petrol,4,Location,,,,,/toyota/pixis-van/cb204690/id/13262084/,BeForward
CB204691,2020 TOYOTA ROOMY,Toyota,Roomy,2020,140500.0,1000.0,AT,Petrol,5,Location,,,,,/toyota/roomy/cb204691/id/13262085/,BeForward
CB204692,2007 NISSAN SKYLINE GT-R,Nissan,Skyline,2007,213000.0,3800.0,AT,Petrol,4,Location,,,,,/nissan/skyline-gt-r/cb204692/id/13262086/,BeForward
CB204693,1998 NISSAN CIMA,Nissan,Cima,1998,86000.0,4100.0,AT,Petrol,5,Location,,,,,/nissan/cima/cb204693/id/13262087/,BeForward
CB204694,2016 NISSAN DAYZ,Nissan,Dayz,2016,24000.0,660.0,CVT,Petrol,4,Location,,,,,/nissan/dayz/cb204694/id/13262088/,BeForward
CB204695,2015 NISSAN DAYZ,Nissan,Dayz,2015,88000.0,660.0,CVT,Petrol,4,Location,,,,,/nissan/dayz/cb204695/id/13262089/,BeForward
CB204696,2017 NISSAN DAYZ ROOX,Nissan,Dayz,2017,67000.0,660.0,CVT,Petrol,4,Location,,,,,/nissan/dayz-roox/cb204696/id/13262090/,BeForward
CB204697,2019 NISSAN DAYZ ROOX,Nissan,Dayz,2019,34000.0,660.0,CVT,Petrol,4,Location,,,,,/nissan/dayz-roox/cb204697/id/13262091/,BeForward
CB204698,2016 NISSAN DAYZ ROOX,Nissan,Dayz,2016,87000.0,660.0,CVT,Petrol,4,Location,,,,,/nissan/dayz-roox/cb204698/id/13262092/,BeForward
CB204699,2023 NISSAN NOTE,Nissan,Note,2023,27610.0,1200.0,AT,Hybrid(Petrol),5,Location,,,,,/nissan/note/cb204699/id/13262093/,BeForward
CB204700,2001 NISSAN VANETTE VAN,Nissan,Vanette,2001,46000.0,1800.0,AT,Petrol,6,Location,,,,,/nissan/vanette-van/cb204700/id/13262094/,BeForward
CB204701,2009 NISSAN MOCO,Nissan,Moco,2009,114255.0,660.0,AT,Petrol,4,Location,,,,,/nissan/moco/cb204701/id/13262095/,BeForward
CB204702,2012 NISSAN MOCO,Nissan,Moco,2012,19000.0,660.0,CVT,Petrol,4,Location,,,,,/nissan/moco/cb204702/id/13262096/,BeForward
CB204703,2010 NISSAN MOCO,Nissan,Moco,2010,98000.0,660.0,AT,Petrol,4,Location,,,,,/nissan/moco/cb204703/id/13262097/,BeForward
CB204704,2002 NISSAN MOCO,Nissan,Moco,2002,125000.0,,AT,Petrol,ASK,Location,,,,,/nissan/moco/cb204704/id/13262098/,BeForward
CB204705,2021 NISSAN ROOX,Nissan,Roox,2021,21000.0,660.0,CVT,Hybrid(Petrol),4,Location,,,,,/nissan/roox/cb204705/id/13262099/,BeForward
CB204706,2020 NISSAN ROOX,Nissan,Roox,2020,7000.0,660.0,CVT,Hybrid(Petrol),4,Location,,,,,/nissan/roox/cb204706/id/13262100/,BeForward
CB204707,2012 NISSAN ROOX,Nissan,Roox,2012,81000.0,660.0,AT,Petrol,4,Location,,,,,/nissan/roox/cb204707/id/13262101/,BeForward
CB204708,2010 NISSAN ROOX,Nissan,Roox,2010,100000.0,660.0,CVT,Petrol,4,Location,,,,,/nissan/roox/cb204708/id/13262102/,BeForward
CB204709,2012 HONDA N-ONE,Honda,N-One,2012,136900.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-one/cb204709/id/13262103/,BeForward
CB204710,2014 HONDA N-ONE,Honda,N-One,2014,111000.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-one/cb204710/id/13262104/,BeForward
CB204712,2013 HONDA N-ONE,Honda,N-One,2013,86000.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-one/cb204712/id/13262106/,BeForward
CB204713,2016 HONDA N-WGN,Honda,N-Wgn,2016,133500.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-wgn/cb204713/id/13262107/,BeForward
CB204714,2020 HONDA N-WGN,Honda,N-Wgn,2020,200400.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-wgn/cb204714/id/13262108/,BeForward
CB204715,2018 HONDA N-WGN,Honda,N-Wgn,2018,47000.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-wgn/cb204715/id/13262109/,BeForward
CB204716,2015 HONDA N-WGN,Honda,N-Wgn,2015,87000.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-wgn/cb204716/id/13262110/,BeForward
CB204717,2019 HONDA N BOX,Honda,N,2019,84300.0,660.0,AT,Petrol,4,Location,,,,,/honda/n-box/cb204717/id/13262111/,BeForward
CB204718,2013 HONDA N BOX,Honda,N,2013,110748.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb204718/id/13262112/,BeForward
CB204726,2014 HONDA N BOX,Honda,N,2014,90000.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb204726/id/13262120/,BeForward
CB204727,2014 HONDA N BOX,Honda,N,2014,143600.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb204727/id/13262121/,BeForward
CB204728,2012 HONDA N BOX,Honda,N,2012,85000.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb204728/id/13262122/,BeForward
CB204729,2015 HONDA N BOX,Honda,N,2015,196000.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb204729/id/13262123/,BeForward
CB204730,2018 HONDA N BOX,Honda,N,2018,99000.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb204730/id/13262124/,BeForward
CB204731,2013 HONDA N BOX,Honda,N,2013,93000.0,660.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb204731/id/13262125/,BeForward
CB204732,2024 HONDA N BOX,Honda,N,2024,8550.0,650.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb204732/id/13262126/,BeForward
CB204734,2010 HONDA ACTY,Honda,Acty,2010,43000.0,660.0,AT,Petrol,4,Location,,,,,/honda/acty/cb204734/id/13262128/,BeForward
CB204735,2012 HONDA FIT SHUTTLE,Honda,Fit,2012,84000.0,1300.0,CVT,Hybrid(Petrol),5,Location,,,,,/honda/fit-shuttle/cb204735/id/13262129/,BeForward
CB204736,2005 HONDA LIFE,Honda,Life,2005,54000.0,660.0,AT,Petrol,4,Location,,,,,/honda/life/cb204736/id/13262130/,BeForward
CB204737,2004 SUZUKI MR WAGON,Suzuki,Mr,2004,52000.0,660.0,AT,Petrol,4,Location,,,,,/suzuki/mr-wagon/cb204737/id/13262131/,BeForward
CB204738,2001 SUZUKI ALTO,Suzuki,Alto,2001,125000.0,660.0,MT,Petrol,4,Location,,,,,/suzuki/alto/cb204738/id/13262132/,BeForward
CB204739,2015 SUZUKI ALTO,Suzuki,Alto,2015,68000.0,660.0,CVT,Petrol,4,Location,,,,,/suzuki/alto/cb204739/id/13262133/,BeForward
CB204740,2013 SUZUKI EVERY,Suzuki,Every,2013,199000.0,660.0,MT,Petrol,4,Location,,,,,/suzuki/every/cb204740/id/13262134/,BeForward
CB204741,1993 SUZUKI EVERY,Suzuki,Every,1993,47600.0,660.0,AT,Petrol,2,Location,,,,,/suzuki/every/cb204741/id/13262135/,BeForward
CB204742,2015 SUZUKI EVERY,Suzuki,Every,2015,80800.0,660.0,Semi AT,Petrol,4,Location,,,,,/suzuki/every/cb204742/id/13262136/,BeForward
CB204743,1995 SUZUKI EVERY,Suzuki,Every,1995,104400.0,660.0,MT,Petrol,4,Location,,,,,/suzuki/every/cb204743/id/13262137/,BeForward
CB204744,2015 SUZUKI CARRY TRUCK,Suzuki,Carry,2015,168400.0,660.0,MT,Petrol,2,Location,,,,,/suzuki/carry-truck/cb204744/id/13262138/,BeForward
CB204745,2015 SUZUKI CARRY TRUCK,Suzuki,Carry,2015,54000.0,660.0,MT,Petrol,2,Location,,,,,/suzuki/carry-truck/cb204745/id/13262139/,BeForward
CB204746,2021 SUZUKI SPACIA,Suzuki,Spacia,2021,22800.0,660.0,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/spacia/cb204746/id/13262140/,BeForward
CB204747,2017 SUZUKI SPACIA,Suzuki,Spacia,2017,41850.0,660.0,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/spacia/cb204747/id/13262141/,BeForward
CB204748,2018 SUZUKI SPACIA,Suzuki,Spacia,2018,27000.0,660.0,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/spacia/cb204748/id/13262142/,BeForward
CB204749,2015 SUZUKI SPACIA,Suzuki,Spacia,2015,170000.0,660.0,CVT,Petrol,4,Location,,,,,/suzuki/spacia/cb204749/id/13262143/,BeForward
CB204750,2014 SUZUKI SPACIA,Suzuki,Spacia,2014,79000.0,660.0,CVT,Petrol,4,Location,,,,,/suzuki/spacia/cb204750/id/13262144/,BeForward
CB204751,2015 SUZUKI SOLIO,Suzuki,Solio,2015,71000.0,1200.0,CVT,Petrol,5,Location,,,,,/suzuki/solio/cb204751/id/13262145/,BeForward
