ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
CB202747,2021 SUZUKI EVERY,Suzuki,Every,2021,37000,660.0,AT,Petrol,4,Location,,,,,/suzuki/every/cb202747/id/13260135/
CB202748,2024 SUZUKI EVERY,Suzuki,Every,2024,4,660.0,CVT,Petrol,2,Location,,,,,/suzuki/every/cb202748/id/13260136/
CB202749,"2025 SUZUKI EVERY
                                 660PA",Suzuki,Every,2025,3,660.0,AT,Petrol,4,Location,,,,,/suzuki/every/cb202749/id/13260137/
CB202750,"2023 SUZUKI EVERY WAGON
                                 PZ",Suzuki,Every,2023,7777,660.0,AT,Petrol,4,Location,,,,,/suzuki/every-wagon/cb202750/id/13260138/
CB202751,2024 SUZUKI EVERY WAGON,Suzuki,Every,2024,18940,660.0,CVT,Petrol,4,Location,,,,,/suzuki/every-wagon/cb202751/id/13260139/
CB202756,"2012 SUZUKI EVERY
                                 /FR",Suzuki,Every,2012,32019,660.0,AT,Petrol,2,Location,,,,,/suzuki/every/cb202756/id/13260144/
CB202758,"2013 SUZUKI EVERY
                                 TVB",Suzuki,Every,2013,113989,650.0,AT,Petrol,2,Location,,,,,/suzuki/every/cb202758/id/13260146/
CB202763,"2012 SUZUKI EVERY WAGON
                                 BLUETOOTH",Suzuki,Every,2012,101020,660.0,AT,Petrol,4,Location,,,,,/suzuki/every-wagon/cb202763/id/13260151/
CB202764,2013 SUZUKI EVERY WAGON,Suzuki,Every,2013,9790,660.0,AT,Petrol,4,Location,,,,,/suzuki/every-wagon/cb202764/id/13260152/
CB202773,2019 MAZDA SCRUM VAN,Mazda,Scrum,2019,113500,660.0,MT,Petrol,2,Location,,,,,/mazda/scrum-van/cb202773/id/13260161/
CB202775,"2025 HONDA WR-V
                                 8",Honda,Wr-V,2025,9981,1500.0,CVT,Petrol,5,Location,,,,,/honda/wr-v/cb202775/id/13260163/
CB202777,"2013 MAZDA SCRUM VAN
                                 /",Mazda,Scrum,2013,75500,660.0,MT,Petrol,2,Location,,,,,/mazda/scrum-van/cb202777/id/13260165/
CB202783,"2016 MAZDA DEMIO
                                 1.313S4WD",Mazda,Demio,2016,26000,1300.0,AT,Petrol,5,Location,,,,,/mazda/demio/cb202783/id/13260171/
CB202784,"2014 MAZDA DEMIO
                                 13SLHUD",Mazda,Demio,2014,172679,1300.0,AT,Petrol,5,Location,,,,,/mazda/demio/cb202784/id/13260172/
CB202785,2016 MAZDA DEMIO,Mazda,Demio,2016,65300,1300.0,AT,Petrol,5,Location,,,,,/mazda/demio/cb202785/id/13260173/
CB202787,2020 MAZDA MAZDA2,Mazda,Mazda2,2020,39706,1500.0,AT,Petrol,5,Location,,,,,/mazda/mazda2/cb202787/id/13260175/
CB202788,"2016 MAZDA CX-3
                                 1.5XD",Mazda,Cx-3,2016,120141,1500.0,AT,Diesel,5,Location,,,,,/mazda/cx-3/cb202788/id/13260176/
CB202795,2018 MAZDA CX-3,Mazda,Cx-3,2018,46218,2000.0,AT,Petrol,5,Location,,,,,/mazda/cx-3/cb202795/id/13260183/
CB202804,"2022 NISSAN CLIPPER VAN
                                 GXTV",Nissan,Clipper,2022,29660,660.0,MT,Petrol,2,Location,,,,,/nissan/clipper-van/cb202804/id/13260192/
CB202806,"2022 NISSAN CLIPPER VAN
                                 BETC2.0",Nissan,Clipper,2022,16500,660.0,AT,Petrol,2,Location,,,,,/nissan/clipper-van/cb202806/id/13260194/
CB202814,"2016 NISSAN CLIPPER VAN
                                 660G4WD",Nissan,Clipper,2016,42000,660.0,AT,Petrol,4,Location,,,,,/nissan/clipper-van/cb202814/id/13260202/
CB202835,"2018 NISSAN CLIPPER VAN
                                 GTVETC",Nissan,Clipper,2018,64349,660.0,AT,Petrol,4,Location,,,,,/nissan/clipper-van/cb202835/id/13260223/
